file,sheet,column,position,dtype,null_rate,distinct_count
raw/judicial-branch/expiring-deposits/2017-1/CONSULTA DE TITULOS.xlsb,D J EN CONDICION ESPECIAL,NÙMERODEDEPÒSITOJUDICIALENCONDICIÒNESPECIAL,0,String,0.0001,102929
raw/judicial-branch/expiring-deposits/2017-1/CONSULTA DE TITULOS.xlsb,D J EN CONDICION ESPECIAL,FECHA DE  CONSTITUCION DD/MM/AAAA ,1,String,0.0017,19355
raw/judicial-branch/expiring-deposits/2017-1/CONSULTA DE TITULOS.xlsb,D J EN CONDICION ESPECIAL,VALOR,2,String,0.0,37649
raw/judicial-branch/expiring-deposits/2017-1/CONSULTA DE TITULOS.xlsb,D J EN CONDICION ESPECIAL,NUMERO DE RADICADO DEL PROCESO (23 DIGITOS),3,String,0.5435,3179
raw/judicial-branch/expiring-deposits/2017-1/CONSULTA DE TITULOS.xlsb,D J EN CONDICION ESPECIAL,ID DEMANTANTE,4,String,0.3978,8633
raw/judicial-branch/expiring-deposits/2017-1/CONSULTA DE TITULOS.xlsb,D J EN CONDICION ESPECIAL,NOMBRE DEMANTANDE,5,String,0.2054,41634
raw/judicial-branch/expiring-deposits/2017-1/CONSULTA DE TITULOS.xlsb,D J EN CONDICION ESPECIAL,ID DEMANDADO,6,String,0.3657,11530
raw/judicial-branch/expiring-deposits/2017-1/CONSULTA DE TITULOS.xlsb,D J EN CONDICION ESPECIAL,NOMBRE DEMANDADO,7,String,0.1548,47566
raw/judicial-branch/expiring-deposits/2017-1/CONSULTA DE TITULOS.xlsb,D J EN CONDICION ESPECIAL,NOMBRE DESPACHO,8,String,0.0063,621
raw/judicial-branch/expiring-deposits/2017-1/CONSULTA DE TITULOS.xlsb,D J EN CONDICION ESPECIAL,FECHA DE LA ACTUACIÓN QUE DIO FIN AL PROCESO  DD/MM/AAAA,9,String,0.5659,1568
raw/judicial-branch/expiring-deposits/2017-1/CONSULTA DE TITULOS.xlsb,D J EN CONDICION ESPECIAL,__UNNAMED__10,10,String,0.9267,43
raw/judicial-branch/expiring-deposits/2017-1/CONSULTA DE TITULOS.xlsb,D J NO RECLAMADOS,NÙMERO DE DEPÒSITO JUDICIAL NO RECLAMADOS,0,String,0.0,101394
